participant_id,q10_meat,q11_dairy,q12_eggs,q13_change
P0004,0.0,2.0,0.0,about_the_same
P0007,0.25,2.0,0.5,somewhat_less
P0008,0.0,0.0,0.0,about_the_same
P0009,0.0,2.0,0.0,somewhat_less
P0010,1.0,3.0,1.0,somewhat_less
P0011,2.0,1.0,0.0,much_more
P0012,1.0,2.0,2.0,somewhat_less
P0013,4.0,1.0,1.0,about_the_same
P0019,0.5,0.0,0.5,about_the_same
P0021,1.0,0.0,0.0,somewhat_less
P0022,0.25,1.0,0.25,somewhat_less
P0023,1.0,3.0,1.0,somewhat_less
P0024,0.0,1.0,0.5,somewhat_less
P0026,0.5,0.0,0.25,much_less
P0027,0.0,2.0,0.0,somewhat_less
P0032,1.0,1.0,1.0,about_the_same
P0033,10.0,1.0,1.0,somewhat_more
P0037,1.0,1.0,1.0,about_the_same
P0040,0.0,2.0,1.0,about_the_same
P0041,0.0,2.0,1.0,somewhat_less
P0046,1.5,0.5,2.0,about_the_same
P0048,0.0,0.0,0.0,somewhat_less
P0049,0.5,0.5,0.5,somewhat_less
P0051,1.0,0.0,2.0,much_less
P0052,0.5,1.0,0.0,about_the_same
P0053,0.0,0.0,0.0,much_less
P0055,0.0,2.0,1.0,about_the_same
P0057,1.0,2.0,1.0,about_the_same
P0059,1.0,0.0,0.0,about_the_same
P0062,0.0,2.0,0.0,much_less
P0067,0.0,1.0,0.0,much_less
P0069,1.0,2.0,0.0,about_the_same
P0070,1.5,2.0,1.0,somewhat_less
P0071,0.5,2.0,0.2,somewhat_less
P0072,2.0,2.0,1.0,somewhat_less
P0073,1.0,1.0,1.0,about_the_same
P0075,0.0,0.0,0.0,about_the_same
P0076,1.0,2.0,0.0,about_the_same
P0077,1.0,1.0,0.0,about_the_same
P0078,0.5,0.2,1.0,somewhat_less
P0079,0.0,5.0,2.0,somewhat_more
P0080,0.0,1.0,0.0,about_the_same
P0092,1.0,1.0,0.0,about_the_same
P0094,0.0,1.0,0.0,much_less
P0095,2.0,1.0,0.5,about_the_same
P0096,0.0,1.0,0.0,somewhat_less
P0102,0.0,7.0,0.0,about_the_same
P0105,0.0,2.0,1.0,about_the_same
P0107,1.5,3.0,0.5,about_the_same
P0108,1.0,1.0,0.0,somewhat_less
P0110,1.0,2.0,1.0,somewhat_less
P0111,2.0,2.0,0.5,about_the_same
P0114,2.0,1.0,0.0,somewhat_less
P0116,0.5,0.0,1.0,somewhat_less
P0118,0.0,0.0,0.0,much_less
P0120,0.0,0.0,0.0,somewhat_less
P0123,0.0,1.0,0.0,about_the_same
P0124,1.5,0.5,0.0,about_the_same
P0126,0.5,1.0,0.0,much_less
P0129,0.5,2.0,0.0,about_the_same
P0131,3.0,3.0,1.0,somewhat_more
P0132,1.0,1.0,2.0,somewhat_less
P0133,0.5,1.0,0.5,about_the_same
P0135,0.0,0.0,0.0,about_the_same
P0136,0.0,0.0,0.0,about_the_same
P0138,4.0,3.0,2.0,about_the_same
P0140,2.0,0.5,0.0,about_the_same
P0141,0.0,9.0,0.0,about_the_same
P0143,1.0,2.0,1.0,somewhat_less
P0145,0.5,3.0,1.0,about_the_same
P0146,0.5,1.0,0.2,about_the_same
P0148,2.0,1.0,1.0,about_the_same
P0153,3.0,1.0,3.0,about_the_same
P0154,1.0,2.0,3.0,somewhat_less
P0155,0.5,1.0,0.5,much_less
P0156,1.5,1.0,0.0,somewhat_less
P0157,1.0,0.0,1.0,somewhat_less
P0158,0.0,1.0,0.0,somewhat_less
P0159,2.0,2.0,1.0,about_the_same
P0163,1.0,0.0,0.0,somewhat_less
P0164,1.0,1.0,1.0,much_less
P0165,1.0,1.0,0.0,much_less
P0166,0.0,0.0,0.0,somewhat_less
P0167,0.25,0.5,0.25,about_the_same
P0169,1.0,1.0,0.0,much_less
P0170,2.0,0.0,1.0,about_the_same
P0172,1.0,3.0,0.0,about_the_same
P0174,1.0,0.0,0.0,somewhat_less
P0176,2.0,3.0,0.0,about_the_same
P0178,0.25,0.5,0.5,about_the_same
P0188,0.0,0.0,0.5,much_less
P0193,0.0,0.0,0.0,about_the_same
P0196,0.0,1.0,0.0,somewhat_less
P0201,1.0,2.0,1.0,about_the_same
P0203,0.0,3.0,1.0,about_the_same
P0206,0.0,0.0,0.0,about_the_same
P0207,0.0,1.0,0.0,somewhat_less
P0209,0.0,1.0,2.0,about_the_same
P0212,1.0,1.0,0.0,somewhat_less
P0214,0.0,1.0,0.0,somewhat_less
P0215,0.0,1.0,0.0,much_less
P0221,1.0,0.5,0.25,somewhat_less
P0225,1.0,2.0,0.0,somewhat_less
P0227,1.0,1.0,0.0,about_the_same
P0231,0.5,3.0,0.0,somewhat_less
P0232,1.5,1.5,1.0,about_the_same
P0234,2.0,2.0,1.0,about_the_same
P0235,1.0,2.0,0.0,about_the_same
P0236,0.0,0.0,0.0,about_the_same
P0239,1.0,4.0,1.0,about_the_same
P0243,3.0,2.0,2.0,somewhat_less
P0246,5.0,7.0,0.0,somewhat_less
P0247,0.0,0.0,0.0,about_the_same
P0249,0.75,1.0,0.0,somewhat_less
P0250,1.0,3.0,2.0,about_the_same
P0254,1.0,3.0,1.0,about_the_same
P0256,0.0,0.5,0.0,about_the_same
P0258,2.0,2.0,2.0,somewhat_more
P0264,1.0,0.5,1.0,somewhat_less
P0267,0.0,0.25,0.25,about_the_same
P0268,1.0,2.0,4.0,about_the_same
P0269,1.0,1.0,3.0,about_the_same
P0273,0.0,2.0,2.0,much_less
P0277,0.75,1.0,0.72,about_the_same
P0278,1.0,2.0,1.0,somewhat_less
P0283,2.0,1.0,0.0,about_the_same
P0285,1.0,0.5,1.0,somewhat_less
P0286,1.0,1.0,0.0,about_the_same
P0287,2.0,2.0,0.0,somewhat_less
P0289,0.0,1.0,1.0,about_the_same
P0291,0.5,0.0,1.0,somewhat_less
P0294,0.0,1.0,0.0,somewhat_less
P0296,0.0,3.0,0.0,somewhat_less
P0301,0.6,0.3,1.0,about_the_same
P0303,0.0,3.0,1.0,about_the_same
P0304,0.0,1.0,1.0,about_the_same
P0308,0.25,0.0,0.0,much_more
P0309,1.0,2.0,0.0,somewhat_less
P0313,1.0,1.0,1.0,somewhat_less
P0314,0.0,1.0,1.0,somewhat_less
P0317,0.0,1.0,0.0,somewhat_less
P0318,1.0,2.0,0.0,about_the_same
P0320,0.5,1.0,2.0,about_the_same
P0323,1.0,5.0,6.0,about_the_same
P0324,1.0,2.0,1.0,about_the_same
P0325,0.0,1.0,1.0,about_the_same
P0326,6.0,1.0,0.0,about_the_same
P0328,2.0,1.0,1.0,somewhat_less
P0334,1.0,1.0,0.5,somewhat_less
P0335,1.0,0.0,0.0,somewhat_less
P0337,3.0,1.0,0.0,about_the_same
P0338,0.0,1.0,1.0,about_the_same
P0341,0.0,20.0,0.0,about_the_same
P0347,0.5,1.0,0.5,about_the_same
P0348,2.0,7.0,0.0,somewhat_less
P0353,2.0,2.0,0.0,about_the_same
